,Player,PPR_Projected_2023
1184,Devin Singletary,174.9388215123812
1136,Derek Carr,174.73536144545722
2309,Kirk Cousins,174.72347866284164
2180,Kareem Hunt,174.6301223308205
1158,Derrick Henry,174.24394689820716
2401,Le'Veon Bell,173.84416809681025
1057,DeMarco Murray,173.48952582850723
3317,Stefon Diggs,173.15085888809972
170,Andy Dalton,172.40187046993458
575,Chase Claypool,172.015753091875
115,Allen Lazard,171.71595185540488
1766,Jarvis Landry,171.7034275688388
785,Curtis Samuel,171.46171206633247
3682,Tyler Lockett,171.33255883684768
280,Ben Roethlisberger,171.1732262114274
3104,Rob Gronkowski,171.06192859534792
812,D.J. Moore,171.02305987228667
2754,Mitchell Trubisky,170.96183439765326
2204,Keenan Allen,170.60135663264015
1431,George Kittle,170.4913382192788
2689,Michael Thomas,170.46247409547783
1392,Gabriel Davis,170.31033639161532
3125,Robert Woods,170.29172163770858
1611,Jacoby Brissett,170.23150419123328
2203,Keenan Allen,169.93961686885615
2461,Mac Jones,169.83295280248493
2710,Mike Evans,169.79388221678215
3760,Will Fuller,169.4607130819572
2656,Melvin Gordon,169.26336383750132
2897,Odell Beckham Jr.,169.12671613495868
2096,Julian Edelman,169.0787164975673
1204,Dez Bryant,169.0131282256848
604,Chris Carson,169.00919264215293
811,D.J. Moore,168.90499874688916
1101,Demaryius Thomas,168.75712731382495
2069,Josh Palmer,168.43867012910985
2831,Nick Chubb,168.26488865373446
738,Cooper Kupp,168.14133290603894
1091,Deebo Samuel,167.9677519291517
714,Cole Beasley,167.95070486923652
3643,Tyler Boyd,167.92687705066504
1436,George Pickens,167.6756715744909
2705,Mike Davis,167.5639967718826
1231,Donovan Peoples-Jones,167.5619169989894
1074,DeVonta Smith,167.44599037805932
1648,Jakobi Meyers,167.26262844051558
1393,Gardner Minshew II,166.79536595589389
16,AJ Dillon,166.77918698128786
217,Antonio Gibson,166.26862661178757
266,Baker Mayfield,166.24383463070404
215,Antonio Gibson,166.16384518963514
17,AJ Dillon,166.11067679276934
3014,Raheem Mostert,165.58622668613987
1254,Drew Lock,165.5443064005984
521,Carson Wentz,165.35929190994128
2062,Josh McCown,165.2195677056445
2520,Mark Ingram,165.1470332458424
3101,Rob Gronkowski,165.13241916791065
856,Dameon Pierce,164.98416386074726
820,DJ Chark,164.97361698549645
1889,Jimmy Garoppolo,164.7821530296144
1461,Golden Tate,164.357143310305
268,Baker Mayfield,163.95229594603646
3642,Tyler Boyd,163.66916419888463
673,Christian Watson,163.46193732814638
3210,Ryan Tannehill,163.4607704602662
2307,Kirk Cousins,163.3440238990404
1911,Joe Mixon,163.29583176351818
2898,Odell Beckham Jr.,163.20744362259342
3478,Todd Gurley,162.74918674835712
2208,Keenan Allen,162.58833549883983
2242,Kendrick Bourne,162.39552290465184
992,David Johnson,162.32337233328042
3640,Tyler Boyd,162.3233067341591
1432,George Kittle,161.9846238931996
2633,Matthew Stafford,161.83678401901255
1723,James White,161.7711649017077
3617,Tua Tagovailoa,161.59154169643912
3778,Zach Ertz,161.44957373803905
956,Darren Waller,161.1513944058649
770,Courtland Sutton,161.06065019707884
2659,Melvin Gordon,161.026483394309
1608,Jacoby Brissett,160.66960574306617
2574,Marvin Jones,160.44471821291435
1194,Devonta Freeman,160.40564793522506
2,A.J. Brown,160.35516055801287
1328,Eric Ebron,160.25847689740849
3213,Ryan Tannehill,160.1223410838639
2749,Miles Sanders,159.63387153777936
1834,Jeff Wilson,159.51587343331667
524,Carson Wentz,159.50767418461555
1066,DeShone Kizer,159.3160575173823
339,Brandin Cooks,159.27330860813302
1923,John Brown,159.10711622689504
3364,T.Y. Hilton,158.97094781436238
3776,Zach Ertz,158.89457685111677
3636,Tyler Allgeier,158.86133937128267
1178,Devin Funchess,158.8459997756316
0,A.J. Brown,158.8212523772393
2337,Kyle Pitts,158.67261029092967
485,Calvin Ridley,158.64048923126128
1801,Jay Cutler,158.53128121928202
265,Baker Mayfield,158.09461514879976
1910,Joe Mixon,157.86581154038686
773,Courtland Sutton,157.85084400863536
1864,Jermaine Kearse,157.78485594928446
2382,Larry Fitzgerald,157.75279616529556
3641,Tyler Boyd,157.67241546040117
892,Daniel Jones,157.49779443928782
2553,Marquise Brown,157.32372377568305
2363,Lamar Miller,157.23532291434898
2023,Jordy Nelson,157.23172637037467
3472,Tim Patrick,157.1277876106299
2271,Kenyan Drake,157.0088145974003
3431,Tee Higgins,156.82707015278865
3318,Stefon Diggs,156.77378019871801
2153,K.J. Osborn,156.7372979055074
2272,Kenyan Drake,156.38419643021123
2679,Michael Gallup,156.2554856427825
317,Blake Bortles,155.76614887376178
2467,Mack Hollins,155.68428339164873
2364,Lamar Miller,155.61931968363513
1562,J.D. McKissic,155.54383414495513
2887,Nyheim Hines,155.53005323717002
1764,Jarvis Landry,155.47301850417313
2782,Myles Gaskin,155.41836659075128
830,Dak Prescott,155.16683771553105
791,D'Andre Swift,155.11658662771424
2616,Matt Ryan,155.01172670804644
1317,Emmanuel Sanders,154.97019539392383
514,Carlos Hyde,154.96739386670598
976,Davante Adams,154.91997089623575
2392,Latavius Murray,154.91485662917583
617,Chris Godwin,154.79413137592587
763,Corey Davis,154.39386198795188
1568,J.K. Dobbins,154.37035814456462
345,Brandon Aiyuk,154.3697993032367
1714,James Robinson,154.29521327937718
751,Cordarrelle Patterson,153.79543475794023
3142,Ronald Jones II,153.56184064909414
1297,Eli Manning,151.42147825582225
894,Daniel Jones,150.73915121301636
2262,Kenny Pickett,150.5206205029551
1050,DeAndre Hopkins,150.20617720878988
124,Alshon Jeffery,150.18744667811944
1767,Jarvis Landry,150.16895658067676
484,Calvin Ridley,150.00192869563273
6,A.J. Green,150.00051265790233
3718,Van Jefferson,149.98237326925118
839,Dallas Goedert,149.8811365879458
2812,Nelson Agholor,149.85232212372702
2516,Mark Andrews,149.8452810810691
1509,Hunter Henry,149.74141406860446
1747,Jared Goff,149.67006098492885
2181,Kareem Hunt,149.57655060696663
3667,Tyler Higbee,149.51687474223138
1210,Dion Lewis,148.8538920725466
2717,Mike Gesicki,148.6857372590476
2920,Pat Freiermuth,148.6857372590476
344,Brandon Aiyuk,148.66662013536182
2381,Larry Fitzgerald,148.64398583998977
1462,Golden Tate,148.6015203668701
2551,Marquise Brown,148.54505153609756
2755,Mitchell Trubisky,148.51985172575183
2918,Parris Campbell,148.31770974266033
576,Chase Claypool,148.1925674566104
1318,Emmanuel Sanders,148.05477742812445
994,David Johnson,147.71516605436835
3168,Russell Gage,147.54607239199868
3393,Tarik Cohen,147.54324765841275
602,Chris Carson,147.2725029628717
1196,Devonta Freeman,147.26309948245492
1305,Elijah Mitchell,147.08471488481865
167,Andy Dalton,147.05548459805493
3511,Tony Pollard,147.00472073618096
944,Darrell Henderson,146.68383104055715
893,Daniel Jones,146.1824881479503
2099,Julio Jones,146.0311443808507
3639,Tyler Boyd,145.6031589094617
3681,Tyler Lockett,145.59991561327624
1026,Dawson Knox,145.59705106314306
3691,Tyreek Hill,145.41517680593964
720,Cole Kmet,145.29455983708937
1969,Jonathan Taylor,145.18380455039227
343,Brandin Cooks,144.80842968227967
3117,Robert Tonyan,144.70330204982017
1316,Emmanuel Sanders,144.56196255721485
3471,Tim Patrick,144.55324018000383
2976,Phillip Lindsay,144.52818594343674
3415,Taysom Hill,144.38087489396054
2438,Logan Thomas,144.32888830041938
3167,Russell Gage,144.13679141690994
2977,Phillip Lindsay,144.0997926461703
123,Alshon Jeffery,144.0822642096314
1765,Jarvis Landry,143.6592347936347
1729,Jamison Crowder,143.65512724545817
2874,Noah Fant,143.5040765935933
686,Clyde Edwards-Helaire,143.40454943063003
2152,K.J. Osborn,143.22463676659015
3235,Samaje Perine,143.08024363476645
1092,Delanie Walker,143.00837728789284
3350,T.J. Hockenson,142.89368058937617
715,Cole Beasley,142.82782191250143
1201,Devontae Booker,142.81510973439515
449,C.J. Anderson,142.7698183457729
43,Adam Thielen,142.75137553678172
846,Dalton Schultz,142.74275827883525
1013,David Njoku,142.49029554376168
1245,Doug Baldwin,142.18955305648709
3225,Sam Darnold,142.16781173580077
9,A.J. Green,142.16048028558262
1102,Demaryius Thomas,141.82121623901585
135,Amari Cooper,141.62885079501362
3360,T.J. Yeldon,141.5597808023779
840,Dallas Goedert,141.53919939520122
1536,Isaiah Crowell,141.40918146741294
2051,Josh Jacobs,141.28005515575845
3448,Terry McLaurin,141.17700574086473
1743,Jared Cook,141.04965886146323
1020,Davis Mills,141.04090728372768
251,Austin Hooper,141.0025047813977
2517,Mark Andrews,140.9771820760408
3535,Travis Kelce,140.97344834133966
1898,Joe Burrow,140.9554103827345
3184,Ryan Fitzpatrick,140.79820739658425
1135,Derek Carr,140.6289658787127
490,Cam Akers,140.53774330804418
3007,Rachaad White,140.49341402215467
3094,Rishard Matthews,140.4296925609822
2680,Michael Gallup,140.4296925609822
528,Case Keenum,139.96157134523995
2670,Michael Carter,139.8581479506932
2750,Miles Sanders,139.85327571678596
2673,Michael Crabtree,139.75960820703534
1442,Gerald Everett,139.71850579915542
2572,Marvin Jones,139.5195346872636
1730,Jamison Crowder,139.43371699291836
2634,Matthew Stafford,139.38654407803486
3223,Sam Darnold,138.95977604363424
1463,Golden Tate,138.85226266681377
527,Case Keenum,138.5944645375018
586,Chase Edmonds,138.5050164888296
1088,Deebo Samuel,138.32235420153484
3403,Taylor Gabriel,138.2809844407549
54,Adrian Peterson,138.22977453534375
2919,Pat Freiermuth,138.03712178559712
815,D.K. Metcalf,138.0233197711917
3793,Zach Wilson,138.00133844121098
2907,Orleans Darkwa,137.3428753943038
2257,Kenny Golladay,137.06352182807288
1744,Jared Cook,136.62002987557517
2029,Josh Allen,136.5916823122838
2143,Juwan Johnson,136.24250761865005
2735,Mike Wallace,135.90584486423757
1553,Isiah Pacheco,135.75327358737357
2417,Leonard Fournette,135.52493706072718
32,Adam Humphries,135.39075348857
772,Courtland Sutton,135.36840497597095
2541,Marquez Callaway,135.34588745649066
3693,Tyreek Hill,135.33052730354362
1027,Dawson Knox,135.10844265698907
2270,Kenyan Drake,135.09651993708724
667,Christian McCaffrey,135.0666076961231
2611,Matt Ryan,134.82124095964824
2559,Marshawn Lynch,134.10862817299906
246,Austin Ekeler,134.04208434560954
1794,Javorius Allen,134.03099907716992
1696,James Conner,133.54550704114868
3103,Rob Gronkowski,133.39511250325737
3248,Saquon Barkley,133.17885687772272
2570,Marvin Jones,132.85937353125905
3077,Richie James,132.59638023950367
3366,T.Y. Hilton,132.484481456057
1746,Jared Cook,132.4373273759915
713,Cole Beasley,132.4373273759915
1071,DeVante Parker,132.38307142833528
1192,Devonta Freeman,132.32802971743737
2538,Marqise Lee,132.29276346810778
1049,DeAndre Hopkins,132.22152077884547
2781,Myles Gaskin,132.08100812626054
535,Cedrick Wilson Jr.,132.05710704068593
2658,Melvin Gordon,132.03427924354372
3303,Sony Michel,131.9345941224104
2767,Mohamed Sanu,131.6849706536478
2534,Marlon Mack,131.51457460808282
3666,Tyler Higbee,131.50172740408715
3351,T.J. Hockenson,131.4241451949369
1394,Gardner Minshew II,131.30704351071697
1319,Emmanuel Sanders,131.25923345804463
3650,Tyler Conklin,131.2545409780429
3335,Sterling Shepard,131.17330354285826
1155,Derrick Henry,131.17037055146724
1620,Jahan Dotson,130.8668665537702
2324,Kyle Allen,130.8179715145226
3705,Tyrod Taylor,130.4757154309444
1211,Dion Lewis,130.09987375348595
587,Chase Edmonds,129.91828317032426
1858,Jerick McKinnon,129.64162574438217
1081,Dede Westbrook,129.61725329683804
1453,Giovani Bernard,129.5802624985847
974,Davante Adams,129.4870702274988
338,Brandin Cooks,129.4610867362531
1535,Isaiah Crowell,129.1402531982634
802,D'Onta Foreman,128.93353309280428
2716,Mike Gesicki,128.7976362376452
1688,Jameis Winston,128.5685671692098
1870,Jerry Jeudy,128.04290770939127
2900,Odell Beckham Jr.,128.01657998554225
2829,Nick Chubb,127.91589008732889
3453,Tevin Coleman,127.75356993540619
1893,Jimmy Graham,127.6851792797739
3699,Tyrell Williams,127.56507127746703
114,Allen Lazard,127.22803686718325
3413,Taysom Hill,127.04202572885693
1330,Eric Ebron,126.91965901466557
1375,Frank Gore,126.90357596559774
1261,Duke Johnson,126.81113865574015
928,Darius Slayton,126.71698671981338
2185,Kareem Hunt,126.47855667371151
2653,Mecole Hardman,126.02647365734877
81,Alex Collins,125.62786836781113
3459,Theo Riddick,125.59249185140033
599,Chosen Anderson,125.55555404713502
2671,Michael Carter,125.4223570501463
997,David Montgomery,125.40285925485726
821,DJ Chark,125.16879395553623
2706,Mike Davis,125.16263963777294
1082,Dede Westbrook,125.07848599530871
1307,Elijah Moore,125.06211774420584
3649,Tyler Conklin,125.02077221877047
2393,Laviska Shenault Jr.,125.01936233117932
522,Carson Wentz,124.96653646248093
784,Curtis Samuel,124.91692878815735
2742,Mike Williams,124.90963794542813
2198,Keelan Cole,124.83647387092726
2022,Jordy Nelson,124.76194665848479
3127,Robert Woods,124.6446996866275
675,Chuba Hubbard,124.59233601253507
925,Darius Slayton,124.49057162123384
2507,Marcus Mariota,124.43198607471902
1783,Jason Witten,124.34747019258295
94,Alex Smith,124.20872234603527
165,Andy Dalton,124.06907605926986
2237,Kendall Wright,123.98555785857148
2756,Mitchell Trubisky,123.58643683849314
3169,Russell Gage,123.18114169850168
3744,Wayne Gallman,122.96333898586826
3182,Ryan Fitzpatrick,122.61889965959094
2599,Matt Forte,122.51980154159645
516,Carlos Hyde,122.15008982135876
929,Darnell Mooney,122.10310556383098
2547,Marquez Valdes-Scantling,121.99167226662205
615,Chris Godwin,121.9783163812952
3141,Ronald Jones II,121.94027166474342
663,Christian Kirk,121.8710738426216
2875,Noah Fant,121.82044522182751
3011,Raheem Mostert,121.58143887751633
2943,Paul Richardson,121.56460212868473
2228,Kelvin Benjamin,121.47869103589134
269,Baker Mayfield,121.47614118238583
207,Antonio Brown,121.35546044588679
1606,Jacoby Brissett,121.1202830571654
1247,Doug Martin,121.042962729005
1768,Jarvis Landry,120.4745167287814
1358,Ezekiel Elliott,120.37364919363598
2873,Noah Fant,119.84194074790587
2708,Mike Evans,119.83262463120366
1498,Hayden Hurst,119.79967176523564
2674,Michael Crabtree,119.72858705950287
2562,Martavis Bryant,119.67179868918005
2174,Kalif Raymond,119.61267502505066
761,Corey Davis,119.57647406677503
664,Christian Kirk,119.57443048085688
1134,Derek Carr,119.54341985990935
958,Darren Waller,119.52125915659877
3774,Zach Ertz,119.51371813045026
3333,Sterling Shepard,119.47881360827937
1548,Isaiah McKenzie,119.47159960315932
2102,Julio Jones,119.23278865118311
1475,Greg Ward,119.12660175088996
2635,Matthew Stafford,119.08225641337131
3590,Trey Burton,119.06985645793701
1782,Jason Witten,119.02651083034894
844,Dalton Schultz,118.9026795736919
1687,Jameis Winston,118.75200140028187
1216,Diontae Johnson,118.45150893733084
1508,Hunter Henry,118.15557376759678
595,Chosen Anderson,118.02675168351236
55,Adrian Peterson,118.01352252093156
597,Chosen Anderson,117.92909122501669
2741,Mike Williams,117.90505364073915
1990,Jordan Howard,117.88080718007258
2575,Marvin Jones,117.7174514439993
1991,Jordan Howard,117.60205374117173
2740,Mike Williams,117.45016914478913
2299,Khalil Herbert,117.00048625623543
2533,Marlon Mack,116.72285473749587
301,Bilal Powell,116.69179543588105
3128,Robert Woods,116.66783562174157
2112,Justin Fields,116.55676564422782
1182,Devin Singletary,116.52227753731512
3316,Stefon Diggs,116.51635292659795
1988,Jordan Akins,116.49363139414467
1563,J.D. McKissic,116.44510852358086
2090,JuJu Smith-Schuster,116.44281165379067
3421,Ted Ginn Jr.,116.20102568190931
3664,Tyler Higbee,116.02185373549932
478,C.J. Uzomah,116.01192825481297
385,Breece Hall,116.00840111105919
2175,Kalif Raymond,115.99334277511365
3779,Zach Ertz,115.78751164554036
671,Christian McCaffrey,115.68093650244703
645,Chris Moore,115.55980244277832
1177,Devin Duvernay,115.49916336062309
1326,Eric Decker,115.32857764129989
3409,Taylor Heinicke,115.2807185861293
