,Rank,Player,CBS,Sleeper,RTSports,AVG
139,140,Raheem Mostert, ,144,140,142.0
140,141,Sam LaPorta, ,145,144,144.5
141,142,Tyler Boyd, ,132,158,145.0
142,143,Darnell Mooney, ,134,156,145.0
143,144,Ezekiel Elliott, ,146,145,145.5
144,145,Derek Carr, ,156,137,146.5
145,146,Nico Collins, ,153,141,147.0
146,147,Roschon Johnson, ,148,153,150.5
147,148,Romeo Doubs, ,151,150,150.5
148,149,Matthew Stafford, ,159,143,151.0
149,150,Kyler Murray, ,142,167,154.5
150,151,Jordan Love, ,154,155,154.5
151,152,Bryce Young, ,140,170,155.0
152,153,Donovan Peoples-Jones, ,177,135,156.0
153,154,Jonathan Mingo, ,137,180,158.5
154,155,Gerald Everett, ,147,171,159.0
155,156,Jeff Wilson Jr., ,157,163,160.0
156,157,Juwan Johnson, ,158,162,160.0
157,158,K.J. Osborn, ,172,151,161.5
158,159,Michael Mayer, ,160,164,162.0
159,160,Rashee Rice, ,143,182,162.5
160,161,Zay Jones, ,152,174,163.0
161,162,Irv Smith Jr., ,167,160,163.5
162,163,Tyjae Spears, ,162,165,163.5
163,164,Kareem Hunt, ,196,132,164.0
164,165,Leonard Fournette, ,176,152,164.0
165,166,Chuba Hubbard, ,171,157,164.0
166,167,Jerome Ford, ,168,169,168.5
167,168,Kenny Pickett, ,173,166,169.5
168,169,C.J. Stroud, ,161,184,172.5
169,170,Jalin Hyatt, ,169,179,174.0
170,171,Kenneth Gainwell, ,190,159,174.5
171,172,Brock Purdy, ,178,172,175.0
172,173,Justin Tucker, ,207,149,178.0
173,174,Alec Pierce, ,179,178,178.5
174,175,Michael Gallup, ,155,204,179.5
175,176,Taysom Hill, ,166,196,181.0
176,177,Rashid Shaheed, ,164,200,182.0
177,178,Clyde Edwards-Helaire, ,174,194,184.0
178,179,Cordarrelle Patterson, ,202,168,185.0
179,180,Gus Edwards, ,187,186,186.5
180,181,Parris Campbell, ,189,185,187.0
181,182,Chase Brown, ,175,201,188.0
182,183,Mike Gesicki, ,183,195,189.0
183,184,DJ Chark Jr., ,163,216,189.5
184,185,Sam Howell, ,193,188,190.5
185,186,Van Jefferson, ,170,214,192.0
186,187,Daniel Carlson, ,209,176,192.5
187,188,Jayden Reed, ,181,212,196.5
188,189,Ryan Tannehill, ,217,177,197.0
189,190,Tim Patrick, ,182,217,199.5
190,191,Trey Lance, ,188,211,199.5
191,192,Marquez Valdes-Scantling, ,195,205,200.0
192,193,Tyler Bass, ,211,190,200.5
193,194,Wan'Dale Robinson, ,180,222,201.0
194,195,Jimmy Garoppolo, ,222,181,201.5
195,196,Zach Ertz, ,197,206,201.5
196,197,Dawson Knox, ,165,239,202.0
197,198,John Metchie III, ,184,221,202.5
198,199,Evan McPherson, ,208,199,203.5
199,200,Isaiah Hodgins, ,199,210,204.5
200,201,Hayden Hurst, ,204,207,205.5
201,202,Zamir White, ,216,198,207.0
202,203,Michael Carter, ,228,187,207.5
203,204,Zach Evans, ,200,215,207.5
204,205,Marvin Mims Jr., ,191,225,208.0
205,206,Mac Jones, ,229,189,209.0
206,207,Harrison Butker, ,210,209,209.5
207,208,San Francisco 49ers, , ,136,136.0
208,209,Desmond Ridder, ,219,202,210.5
209,210,Luke Musgrave, ,198,224,211.0
210,211,Curtis Samuel, ,194,229,211.5
211,212,Isaiah Likely, ,201,230,215.5
212,213,Philadelphia Eagles, , ,147,147.0
213,214,Hunter Renfrow, ,186,249,217.5
214,215,Baker Mayfield, ,247,191,219.0
215,216,Hunter Henry, ,251,193,222.0
216,217,Dallas Cowboys, , ,161,161.0
217,218,Joshua Kelley, ,254,192,223.0
218,219,Ty Chandler, ,213,233,223.0
219,220,Jason Myers, ,240,208,224.0
220,221,Tank Dell, ,223,231,227.0
221,222,Younghoe Koo, ,212,245,228.5
222,223,Tyler Conklin, ,220,237,228.5
223,224,New England Patriots, , ,173,173.0
224,225,Cole Beasley, , ,175,175.0
225,226,Trey McBride, ,192,271,231.5
226,227,Will Levis, ,250,213,231.5
227,228,Buffalo Bills, , ,183,183.0
228,229,Pierre Strong Jr., ,225,244,234.5
229,230,DeWayne McBride, ,185,301,243.0
230,231,Brandon McManus, ,241,234,237.5
231,232,Baltimore Ravens, , ,197,197.0
232,233,Israel Abanikanda, ,205,278,241.5
233,234,Cameron Dicker, ,265,218,241.5
234,235,Deuce Vaughn, ,233,250,241.5
235,236,Mecole Hardman Jr., ,236,248,242.0
236,237,Jelani Woods, ,218,267,242.5
237,238,Noah Fant, ,234,252,243.0
238,239,Jacksonville Jaguars, , ,203,203.0
239,240,Josh Downs, ,203,292,247.5
240,241,Chase Edmonds, ,257,232,244.5
241,242,Logan Thomas, ,244,247,245.5
242,243,Robert Woods, ,206,294,250.0
243,244,Kyle Trask, ,269,223,246.0
244,245,Jake Ferguson, ,230,262,246.0
245,246,James Robinson, ,252,240,246.0
246,247,DeVante Parker, ,214,281,247.5
247,248,Richie James Jr., ,249,246,247.5
248,249,Cade Otton, ,224,272,248.0
249,250,Allen Robinson II, ,237,260,248.5
250,251,Darius Slayton, ,235,264,249.5
251,252,Puka Nacua, ,215, ,215.0
252,253,Justyn Ross, ,226,274,250.0
253,254,Jake Elliott, ,262,238,250.0
254,255,Kansas City Chiefs, , ,219,219.0
255,256,New York Jets, , ,220,220.0
256,257,Keaontay Ingram, ,221,307,264.0
257,258,Gardner Minshew II, , ,226,226.0
258,259,Terrace Marshall Jr., ,238,273,255.5
259,260,New Orleans Saints, , ,227,227.0
260,261,Khalil Shakir, ,227,308,267.5
261,262,Miami Dolphins, , ,228,228.0
262,263,Chase Claypool, ,231,287,259.0
263,264,Tyquan Thornton, ,232,303,267.5
264,265,Jason Sanders, ,239,279,259.0
265,266,Jake Moody, ,263,255,259.0
266,267,Washington Commanders, , ,235,235.0
267,268,Greg Zuerlein, , ,236,236.0
268,269,Kyren Williams, ,255,269,262.0
269,270,Matt Gay, ,242,283,262.5
270,271,Mike White, , ,241,241.0
271,272,Cleveland Browns, , ,242,242.0
